comparison	median	hpdi_95_lower	hpdi_95_upper
A. bolivianus	103618.571634	74911.0418943	164767.149732
C. gutturata	200563.526038	195036.28635	206549.98387
C. vulpecula	19067.5683805	16983.2413161	22496.9992018
F. minor	31446.2437367	29393.8249891	41873.6493952
K. o. sclateri	31389.6161665	30448.9421773	32550.5570191
M. propinqua	31382.5485832	24579.835967	34759.8789535
M. flavivertex	213724.524865	207386.067754	220081.287901
N. longirostris	254907.774455	250055.293708	259539.912672
S. napensis	31379.0349134	30343.1831932	32341.588115
